,code,date_time,open,high,low,close,avgPrice,volume,money,trans_num,raise_num,fall_num,possitive_buy_large_vol,possitive_sell_large_vol,possitive_buy_main_vol,possitive_sell_main_vol,possitive_buy_middle_vol,possitive_sell_middle_vol
0,300750_SZ,2023-01-03 09:30:00,392.00000051077086,391.99999978894186,392.0000005412925,392.0000003016404,392.0000007552195,60299.99999282799,23637599.9444966,295.0000006489964,,,17599.999810826288,7599.999899720152,8000.000009847475,900.0002834048782,6799.999980710393,6800.000027803217
1,300750_SZ,2023-01-03 09:31:00,390.88999972582525,385.5831416290147,382.17000007543555,382.68999982127514,386.67977320921443,253904.00518646772,98179540.84161489,1504.2708418299878,,,16499.999775779317,37699.99999409376,25796.000852886467,42104.00077375038,35295.999445028996,53299.99981963119
2,300750_SZ,2023-01-03 09:32:00,383.01999968037546,384.55999975824966,381.7200008893385,384.49999976903416,383.0349568590526,237196.00096440464,90854362.33408485,1234.0000319678766,,,32237.427443200097,27700.000472055282,18900.00019473101,16700.000193025193,29300.000445344238,27796.99922568746
3,300750_SZ,2023-01-03 09:33:00,384.81999948346834,386.2499999200653,384.820000051061,385.880000847685,385.75703626708923,162000.00239519723,62492640.47395609,951.0000091548379,,,20193.490459353925,14900.000022512177,14599.999798113888,10600.000011572773,22899.99914355155,27600.000904587374
4,300750_SZ,2023-01-03 09:34:00,386.13999933906973,387.3999995447381,385.94000092797893,386.40000047353124,386.39302759111183,161900.0014801294,62557030.51185283,814.9999843677878,,,19632.495828766383,32043.67433116336,10100.000020326934,9399.99999368562,16500.000421825418,22799.999605870937
5,300750_SZ,2023-01-03 09:35:00,386.97000015464533,387.7599993209957,386.0099993500558,387.2080431956798,387.09041733758255,137000.00164583168,53025405.60889611,716.0000007490348,,,28800.000018201277,23799.999538163436,5800.000023335897,15199.99975424634,13699.999959793891,19370.865930219436
6,300750_SZ,2023-01-03 09:36:00,385.9999993543847,387.8599997437097,385.01999927466466,387.50999928196785,386.6366837725661,95600.00093692336,36962466.79576938,613.9999981921978,,,12399.999968994702,6200.000025597756,5000.000043810625,8200.000012008897,15600.000104382356,15900.00009324983
7,300750_SZ,2023-01-03 09:37:00,387.51999918810753,387.5200000519948,385.9999995754734,386.9999993274715,386.5524835913598,119199.9983760723,46077055.61442253,596.0000128312977,,,10500.000026787005,20815.986317414776,9478.151578595494,10399.999972381152,8600.000024331268,22600.000018372553
8,300750_SZ,2023-01-03 09:38:00,386.3405422338362,386.7453476240146,386.0999991872752,386.42999948758126,386.59728028173237,115800.00146640486,44767964.77412164,569.9999930022905,,,29299.999386441687,8199.999930005451,8900.000079583746,5200.000112132727,7899.999989450465,19799.999684983242
9,300750_SZ,2023-01-03 09:39:00,386.85000016777246,387.499999967452,386.2699990871316,387.4200003825238,386.8888425268441,71699.99980249764,25498451.051825266,375.00000061087974,,,1599.9997494529125,23300.000446506383,5800.000023335897,6038.104211859287,8231.000195187376,8226.152640399057
