code,date_time,open,high,low,close,avgPrice,volume,money,trans_num,raise_num,fall_num,possitive_buy_large_vol,possitive_sell_large_vol,possitive_buy_main_vol,possitive_sell_main_vol,possitive_buy_middle_vol,possitive_sell_middle_vol
300750_SZ,2023-01-03 09:30:00,392.0,392.0,392.0,392.0,392.0,60300.0,23637600.0,295,,,17600,7600,8000,900,6800,6800
300750_SZ,2023-01-03 09:31:00,390.89,390.89,382.17,382.69,386.679773,253904.0,98179541.12,1376,,,16500,37700,25796,42104,35296,53300
300750_SZ,2023-01-03 09:32:00,383.02,384.56,381.72,384.5,383.034956,237196.0,90854359.48,1234,,,42900,27700,18900,16700,29300,27797
300750_SZ,2023-01-03 09:33:00,384.82,386.25,384.82,385.88,385.757037,162000.0,62492640.0,951,,,35600,14900,14600,10600,22900,27600
300750_SZ,2023-01-03 09:34:00,386.14,387.4,385.94,386.4,386.393027,161900.0,62557031.0,815,,,30300,22800,10100,9400,16500,22800
300750_SZ,2023-01-03 09:35:00,386.97,387.76,386.01,386.01,387.046766,137000.0,53025407.0,716,,,28800,23800,5800,15200,13700,16500
300750_SZ,2023-01-03 09:36:00,386.0,387.86,385.02,387.51,386.636684,95600.0,36962467.0,614,,,12400,6200,5000,8200,15600,15900
300750_SZ,2023-01-03 09:37:00,387.52,387.52,386.0,387.0,386.552483,119200.0,46077056.0,596,,,10500,44300,6900,10400,8600,22600
300750_SZ,2023-01-03 09:38:00,387.0,387.12,386.1,386.43,386.59728,115800.0,44767965.0,570,,,29300,8200,8900,5200,7900,19800
300750_SZ,2023-01-03 09:39:00,386.85,387.5,386.27,387.42,386.888842,71700.0,27739930.0,375,,,1600,23300,5800,7700,5400,12300
300750_SZ,2023-01-03 09:40:00,387.24,387.94,387.0,387.94,387.504164,80700.0,31271586.0,467,,,10900,16200,5000,4400,5600,14800
300750_SZ,2023-01-03 09:41:00,387.99,387.99,386.61,386.9,387.203817,87500.0,33880334.0,553,,,5000,15400,7100,13600,10300,22200
300750_SZ,2023-01-03 09:42:00,387.01,388.0,387.01,387.99,387.619494,88364.0,34251609.0,446,,,5400,20100,2500,4100,7470,12800
300750_SZ,2023-01-03 09:43:00,388.0,388.0,387.1,387.54,387.683459,46490.0,18023404.0,322,,,1900,1910,4000,4000,4700,12090
300750_SZ,2023-01-03 09:44:00,387.84,388.23,387.53,388.23,387.941109,63100.0,24479084.0,334,,,2900,14000,4900,7300,8500,9200
300750_SZ,2023-01-03 09:45:00,388.23,388.93,388.0,388.93,388.402533,83300.0,32353931.0,331,,,5500,43400,6700,2500,7300,4800
300750_SZ,2023-01-03 09:46:00,388.9,389.6,388.84,389.6,388.960991,87184.0,33911175.08,360,,,8100,33500,11700,5600,5500,8600
300750_SZ,2023-01-03 09:47:00,389.8,389.8,388.01,388.01,388.82211,62100.0,24145853.0,385,,,12000,0,4400,5100,5200,10900
300750_SZ,2023-01-03 09:48:00,387.83,387.83,386.97,386.97,387.349026,39000.0,15106612.0,276,,,7000,3800,600,0,7900,4500
300750_SZ,2023-01-03 09:49:00,386.87,386.97,385.88,385.99,386.16017,76300.0,29464021.0,407,,,23000,2900,2600,5900,13200,7800
300750_SZ,2023-01-03 09:50:00,385.85,386.1,385.84,386.01,385.962607,53700.0,20726192.0,334,,,4400,4600,3800,8600,7400,8000
300750_SZ,2023-01-03 09:51:00,385.7,385.7,384.07,384.51,384.706182,182800.0,70324290.0,951,,,60000,17500,12900,9000,25300,11400
300750_SZ,2023-01-03 09:52:00,384.51,385.59,384.51,385.26,385.271551,86400.0,33287462.0,403,,,30200,5000,4800,5100,5300,5300
300750_SZ,2023-01-03 09:53:00,385.08,385.5,385.06,385.49,385.292471,68800.0,26508122.0,340,,,3500,21900,3400,7700,4200,3100
300750_SZ,2023-01-03 09:54:00,385.5,386.0,385.49,386.0,385.639295,42303.0,16313699.1,217,,,0,12700,0,7800,2900,5300
300750_SZ,2023-01-03 09:55:00,386.0,386.0,385.79,385.79,385.917298,28500.0,10998643.0,183,,,0,2300,1100,6100,2000,6490
300750_SZ,2023-01-03 09:56:00,385.83,385.83,385.0,385.0,385.317597,57141.0,22017432.8,396,,,15500,0,5600,3100,6900,6300
300750_SZ,2023-01-03 09:57:00,385.03,385.03,384.66,384.86,384.781022,38456.0,14797139.0,308,,,6300,0,600,4100,5100,5300
300750_SZ,2023-01-03 09:58:00,384.73,384.94,384.59,384.64,384.748559,45100.0,17352160.0,355,,,3000,0,3600,3300,9100,6400
300750_SZ,2023-01-03 09:59:00,384.59,384.88,384.59,384.7,384.680679,38300.0,14733270.0,252,,,2000,0,4400,10000,3900,6500
300750_SZ,2023-01-03 10:00:00,384.67,384.67,384.01,384.01,384.313629,70000.0,26901954.0,456,,,11700,0,6300,6100,10400,8900
300750_SZ,2023-01-03 10:01:00,384.09,385.04,384.0,385.01,384.308601,68600.0,26363570.0,387,,,7800,10400,4600,7400,11500,11600
300750_SZ,2023-01-03 10:02:00,385.22,385.25,384.25,385.25,385.037513,69600.0,26798610.88,281,,,26496,4000,2600,9500,4600,9700
300750_SZ,2023-01-03 10:03:00,385.25,386.09,385.03,386.09,385.57867,36100.0,13919390.0,191,,,0,5900,600,7600,3200,11200
300750_SZ,2023-01-03 10:04:00,386.34,386.6,385.22,385.22,385.923301,62100.0,23965837.0,228,,,28700,0,1700,4400,6100,9200
300750_SZ,2023-01-03 10:05:00,385.33,385.33,384.68,384.73,384.887713,36300.0,13971424.0,204,,,11700,0,700,2100,5200,3300
300750_SZ,2023-01-03 10:06:00,384.74,384.74,384.11,384.25,384.440085,35500.0,13647623.0,204,,,6400,1700,3700,1300,3200,5100
300750_SZ,2023-01-03 10:07:00,384.25,384.49,384.1,384.49,384.146521,41100.0,15788422.0,247,,,5100,9800,2000,6000,3500,4200
